FIN Flag Count,ACK Flag Count,PSH Flag Count,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,act_data_pkt_fwd,Total Fwd Packets,Total Length of Fwd Packets,Destination Port,Flow Packets/s,Flow Bytes/s,Fwd Packets/s,Bwd Packets/s,Flow IAT Mean,Flow IAT Min,Flow IAT Std,Flow Duration,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Max,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Subflow Fwd Bytes,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type,_protocol
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,DoS,6
